Pkts_Per_Sec,KBits_Per_Sec,Pkt_Size_Avg,Pkt_Size_Std,Pkt_Size_Q1,Pkt_Size_Q2,Pkt_Size_Q3,Pkt_Size_Min,Pkt_Size_Max,Anomaly
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40009474243500864,4.445852777937816,1389.0,0.0,1389.0,1389.0,1389.0,1389,1389,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.4006355811062055,0.12820338595398575,40.0,0.0,40.0,40.0,40.0,40,40,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
2.0,1.888,118.0,0.0,118.0,118.0,118.0,118,118,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
0.4006331567949204,0.12820261017437454,40.0,0.0,40.0,40.0,40.0,40,40,0
2.0,1.888,118.0,0.0,118.0,118.0,118.0,118,118,0
0.40134201578028,4.353758187184478,1356.0,0.0,1356.0,1356.0,1356.0,1356,1356,0
0.9899989304843555,0.6177593326222378,78.0,0.0,78.0,78.0,78.0,78,78,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
0.4018912991678316,0.12860521573370612,40.0,0.0,40.0,40.0,40.0,40,40,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
0.9900133995541592,0.6177683613217954,78.0,0.0,78.0,78.0,78.0,78,78,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.4006336498728049,0.12820276795929758,40.0,0.0,40.0,40.0,40.0,40,40,0
0.4006321295532258,0.12820228145703225,40.0,0.0,40.0,40.0,40.0,40,40,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
13.0,5.312,51.07692307692308,3.328201177351375,52.0,52.0,52.0,40,52,0
0.40009082894005865,1.062641241664796,332.0,0.0,332.0,332.0,332.0,332,332,0
13.0,5.312,51.07692307692308,3.328201177351375,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
1.313873044631069,2.1232188401238075,202.0,0.0,202.0,202.0,202.0,202,202,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40134838673617174,4.353827299313991,1356.0,0.0,1356.0,1356.0,1356.0,1356,1356,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
0.4006344305819376,0.12820301778622004,40.0,0.0,40.0,40.0,40.0,40,40,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.4006336498728049,0.12820276795929758,40.0,0.0,40.0,40.0,40.0,40,40,0
0.4038837565423352,4.381330990971253,1356.0,0.0,1356.0,1356.0,1356.0,1356,1356,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
2.6317453106088275,1.8316947361837441,87.0,24.04994802489186,70.75,73.0,106.75,70,118,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40063178029224966,0.1282021696935199,40.0,0.0,40.0,40.0,40.0,40,40,0
0.40009554153501287,4.1289859886413325,1290.0,0.0,1290.0,1290.0,1290.0,1290,1290,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40009457851745356,4.445850956485944,1389.0,0.0,1389.0,1389.0,1389.0,1389,1389,0
0.4013420982509088,4.353759081825858,1356.0,0.0,1356.0,1356.0,1356.0,1356,1356,0
0.4006340402269909,0.1282028928726371,40.0,0.0,40.0,40.0,40.0,40,40,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.805327064581561,0.4638683891989791,72.0,2.309401076758503,70.0,72.0,74.0,70,74,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.9736142742757089,1.3786378123744039,177.0,28.879058156387302,152.5,177.5,202.0,151,202,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40135069599990136,4.35385235020693,1356.0,0.0,1356.0,1356.0,1356.0,1356,1356,0
1.3137423588540433,2.1230076519081345,202.0,0.0,202.0,202.0,202.0,202,202,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
0.4020046253301455,4.158335844415025,1293.0,0.0,1293.0,1293.0,1293.0,1293,1293,0
0.4116116584016802,1.0932405647148626,332.0,0.0,332.0,332.0,332.0,332,332,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
